	N1	N2	N3	N4	N_Unx1	N_Unx2	N_Unx3	N_Unx4	N_P1x1	N_P1x2	N_P1x3	N_P1x4
AGAP008655	177	142	121	101	386	379	455	343	95	335	187	216
AGAP011766	778	461	484	439	873	1166	1237	886	596	870	771	687
AGAP005797	1002	622	685	551	308	297	237	215	320	284	338	325
AGAP011307	3881	2067	2543	2027	648	785	455	554	1498	757	802	963
AGAP013430	48	21	14	16	4	7	15	8	5	20	8	28
AGAP012382	4608	2574	3430	3038	2142	2082	1740	1504	3543	3647	3533	4725
AGAP010024	15541	13584	11701	9867	19597	23754	21336	21858	12716	21680	15209	22877
AGAP003914	4777	2771	3209	2601	7484	9349	8765	8156	4673	7948	6710	8157
AGAP008164	661	393	471	440	294	358	289	253	338	493	452	490
AGAP000241	5259	3588	3432	3031	4268	4740	3143	4686	3406	2991	3289	4007
AGAP013466	3834	2169	2531	2089	2706	2774	1827	2836	2110	2152	2279	2359
AGAP003506	492	383	384	306	1623	2265	2117	1723	1001	1642	988	1482
AGAP000247	373	418	275	154	300	296	255	280	138	282	211	240
AGAP010591	246407	126491	164674	138395	99780	99102	72450	88906	114362	123642	113447	132152
AGAP007918	27110	17556	16620	15085	13106	14485	10321	16635	19597	14355	13143	21348
AGAP003747	41	10	5	10	4	4	7	16	8	0	0	5
AGAP013776	0	0	6	1	0	1	0	1	0	0	0	0
AGAP011796	743	577	585	453	848	796	723	718	360	531	466	461
AGAP008287	1284	775	688	730	595	625	720	572	496	539	579	727
AGAP000890	4035	2589	2765	2223	1803	1962	1478	1638	2644	2555	2782	2567
AGAP005371	1116	761	854	679	725	556	449	617	387	530	672	609
AGAP009786	12595	15435	8391	9503	18691	13145	12611	25573	4896	3586	3785	5454
AGAP028215	10345	6497	6792	5589	6877	7941	5581	6616	6246	7529	6929	8356
AGAP001225	1843	1153	1246	1177	1261	1474	1176	1230	881	1286	1207	1480
AGAP003296	2856	1908	2213	1923	5047	4871	5081	5019	2318	3688	2798	3647
AGAP013239	449	268	165	267	93	182	151	175	169	165	138	147
AGAP005592	123	127	117	73	5	6	9	7	4	0	14	0
AGAP007287	1434	861	965	943	621	838	327	1010	1065	286	535	678
AGAP007605	5423	3674	4297	3893	7062	8131	7818	7117	4211	5414	4420	4886
AGAP010463	2390	1224	1490	1167	1226	1488	1038	1307	1214	1220	1135	1188
AGAP003319	3221	2027	2237	2329	2686	3009	2663	2700	2673	2873	3228	2924
AGAP002537	7	7	0	2	8	17	13	2	4	4	1	3
AGAP029108	7419	3572	4716	3337	1590	1527	847	1015	1586	1569	2246	1511
AGAP001471	1213	581	803	735	1093	1415	1110	993	1087	1419	1148	1489
AGAP002666	1430	753	881	721	537	832	556	429	759	842	878	955
AGAP006250	832	346	497	478	384	370	278	246	405	534	385	554
AGAP029147	51	23	17	15	23	30	28	160	2	41	22	30
AGAP013137	10373	7046	7033	5969	5397	4834	3384	3537	5135	6714	6839	6706
AGAP005485	200	86	116	90	206	154	123	123	103	204	153	155
AGAP013296	615	283	304	355	331	342	337	275	437	542	535	471
AGAP008510	15	6	4	3	4	3	18	22	3	2	9	16
AGAP001176	5	1	2	7	6	4	1	19	5	0	6	11
AGAP000929	882	995	521	440	785	889	729	938	205	418	390	359
AGAP009370	0	1	0	0	0	0	2	0	0	1	0	5
AGAP011420	125	43	58	46	198	202	245	291	117	191	100	172
AGAP004507	6049	3883	4107	3170	5546	6276	5057	4500	3823	5213	4567	5065
AGAP006451	755	539	516	541	871	1111	1062	907	454	725	635	808
AGAP011980	0	0	0	0	32	0	41	0	0	0	28	0
AGAP029510	3554	2193	2753	2098	6946	9869	10294	8164	3134	6493	4631	5503
AGAP005248	139	55	64	34	179	251	218	191	60	114	82	119
AGAP006081	100	77	54	64	72	46	39	63	39	33	44	9
AGAP001711	26956	18661	19246	16736	15075	17223	13191	16268	11127	15908	12111	15195
AGAP010807	853	390	580	546	369	451	297	262	474	508	635	608
AGAP010362	52	41	32	32	18	48	28	24	24	19	17	24
AGAP010910	944	647	734	716	728	773	685	562	619	885	730	738
AGAP010410	2031	1128	1237	939	2140	2638	2356	2055	1273	1798	1516	1938
AGAP013168	3413	2271	1869	1653	1596	1630	1194	1575	1763	1785	1609	2087
AGAP012830	8	6	1	7	1	0	4	0	4	6	1	3
AGAP008697	1225	560	764	819	870	1235	851	730	824	1211	1205	1415
AGAP008634	1824	986	1241	1228	895	970	809	865	1082	1304	1392	1361
AGAP010258	12981	7592	8200	7315	5376	5485	3964	4126	5981	6089	5747	7000
AGAP004606	1462	798	953	893	362	435	356	326	487	589	493	545
AGAP010548	86152	42646	57237	52244	10606	12724	5476	9328	15711	14062	18977	16525
AGAP028740	6680	4398	4294	4097	2870	3353	2461	2454	4007	4289	3807	4493
AGAP008888	2985	2080	2334	2230	2003	1781	1526	2412	1343	1293	1689	551
AGAP013715	18	3	2	3	0	0	7	17	8	2	2	0
AGAP002977	25	11	5	5	13	14	18	19	7	1	1	4
AGAP011690	3944	2256	2924	2186	1011	1202	1202	1081	1207	1245	1391	1460
AGAP001368	1172	724	936	985	2066	2767	2566	2417	1423	2394	2160	2124
AGAP028603	24	5	4	8	22	23	30	7	8	20	10	13
AGAP010961	3598	2284	2306	2036	11602	7298	7167	8148	4806	5258	5143	5849
AGAP006952	1263	726	808	655	366	409	312	351	425	416	511	547
AGAP029903	964	593	626	546	562	666	607	568	618	731	565	630
AGAP003661	4266	4037	3192	2312	2598	2568	2257	2741	1253	1768	1631	1552
AGAP004434	4478	2428	2928	2567	2272	2408	1958	1660	2651	2878	2994	3291
AGAP004829	429	208	259	239	396	387	400	266	210	355	260	328
AGAP007371	151	315	116	49	18	58	36	34	0	10	11	3
AGAP000795	600	362	309	312	265	431	420	357	126	218	149	210
AGAP007908	34	6	6	10	2	18	8	11	0	1	4	10
AGAP004127	34	7	2	3	3	7	4	12	3	0	0	4
AGAP009074	3618	2576	2683	2742	3190	3449	3596	3817	1864	2657	2358	2859
AGAP004522	4025	2297	2451	2328	2089	2193	1614	1546	2068	2499	2170	2556
AGAP006734	182	58	70	64	111	168	128	160	115	150	154	150
AGAP008561	117	55	35	36	39	29	13	56	78	11	37	6
AGAP005334	31893	14965	22067	15307	1526	2396	1086	1099	6923	3565	4063	4638
AGAP009247	487	295	333	203	372	355	348	330	177	285	260	295
AGAP001124	3620	4272	1693	1469	2494	2011	908	2018	717	961	751	675
AGAP007358	78	75	69	50	79	152	71	63	46	107	95	69
AGAP007888	2855	1927	2132	1853	5819	6581	5989	6008	4309	6398	5147	6852
AGAP012193	198	110	119	95	307	415	311	273	295	365	296	378
AGAP011918	28	9	3	2	0	8	3	7	5	0	2	0
AGAP003447	458	323	357	330	247	239	197	149	233	271	350	329
AGAP008911	0	0	0	0	28	21	42	34	20	7	27	7
AGAP011350	1018	597	694	616	808	751	600	699	756	817	804	1045
AGAP013358	342	187	183	188	168	214	155	211	202	167	113	197
AGAP010536	2745	1455	1800	1761	1504	2189	1643	1670	2148	2514	2653	3017
AGAP029740	222	65	113	130	134	159	119	127	117	207	168	202
AGAP003939	49384	26417	36817	25447	60230	69731	53066	57096	35584	43984	52312	47903
AGAP009346	630	335	513	397	283	326	209	210	324	414	341	398
AGAP005037	920	480	436	415	1442	1904	1824	1404	642	1007	743	842
AGAP008732	216	93	108	91	13	11	6	21	10	5	11	18
AGAP029682	327	316	303	283	756	917	818	859	591	873	730	976
AGAP011086	873	599	714	656	703	827	578	657	815	1082	1006	1126
AGAP007061	4717	5565	3705	3042	7609	9211	7155	9503	2087	4664	3354	4100
AGAP011679	1293	746	707	474	2002	2029	3012	2789	334	746	481	631
AGAP007037	3805	2544	2274	1919	1852	1811	946	1947	1698	1560	1994	2302
AGAP008895	5224	3264	3116	2664	1809	1607	1544	1626	2266	2251	2295	2396
AGAP013438	3	5	0	5	0	6	0	7	0	0	0	2
AGAP007563	82081	48793	58739	36208	181034	214009	234704	199244	98633	121369	84723	121516
AGAP008148	426	309	346	371	589	889	787	718	430	713	513	568
AGAP005111	1489	975	1095	982	2062	2973	2417	2144	1410	2376	1990	2290
AGAP010140	642	222	251	215	489	309	251	376	644	711	575	581
AGAP029587	5681	3255	3797	3672	2355	2494	2048	2218	4243	4497	4012	5489
AGAP011826	88	36	47	43	52	44	36	38	59	81	45	55
AGAP010418	1471	703	1035	861	780	776	615	605	845	990	853	1053
AGAP029727	1239	608	784	643	639	783	462	561	710	952	853	806
AGAP004284	2007	1262	1488	1396	1246	1403	1045	1142	1460	1661	1729	1975
AGAP004815	0	0	0	0	0	0	0	0	0	3	0	0
AGAP009135	2172	1103	1762	1031	4084	6011	4960	3513	2486	4316	2978	5083
AGAP007707	296	219	181	173	154	209	126	180	141	79	102	110
AGAP002431	116	44	26	42	38	83	53	70	18	55	26	37
AGAP000549	1134	915	811	979	2479	2230	2121	2690	1029	1713	1118	1439
AGAP002005	33	12	19	5	0	8	13	5	0	5	0	7
AGAP011886	2536	1506	1622	1429	897	1036	679	783	1140	1130	1305	1172
AGAP012716	37	4	0	0	4	2	0	1	1	0	2	0
AGAP029930	23	0	6	2	4	5	5	2	3	2	1	0
AGAP007552	9233	4122	6647	6687	7006	8780	6156	6537	8260	9283	10315	14654
AGAP004140	843	390	595	365	947	1286	1275	1057	747	1120	904	1171
AGAP001462	424	332	299	317	564	497	456	495	497	579	573	516
AGAP028225	138	105	78	85	104	90	76	101	57	52	59	46
AGAP011249	248	110	147	108	153	208	219	178	128	197	235	247
AGAP029279	687	262	380	246	176	253	194	227	87	104	98	175
AGAP010941	1225	645	803	759	474	659	403	475	947	784	944	995
AGAP011880	499	240	343	248	635	792	672	470	666	985	949	1020
AGAP008318	1775	1058	1209	844	7170	8735	8765	7977	3289	6354	4431	5214
AGAP029241	299	204	154	144	713	1259	1376	1132	219	428	352	459
AGAP005195	35744	4865	11304	18698	11439	10876	12774	12954	3226	7368	5953	5010
AGAP008542	3069	1794	2100	1932	1852	2420	1984	1919	1353	1933	1725	1945
AGAP002737	43287	144708	35637	30133	57165	114575	86444	81605	29474	45689	27412	33309
AGAP012525	4	4	0	0	7	4	6	0	0	22	43	12
AGAP009123	226	186	126	114	160	307	389	345	119	155	99	143
AGAP005420	75	38	48	40	98	100	123	145	40	72	58	63
AGAP005253	3579	1534	2099	1507	1293	1199	1003	1073	1700	1620	1765	3298
AGAP000128	3196	1890	2016	1818	4084	3572	2959	2912	1535	2849	2133	2927
AGAP005091	19539	14149	13079	12241	24195	25666	17392	22438	12555	16334	13823	15591
AGAP013404	822	517	594	488	429	525	349	351	462	565	541	514
AGAP001942	10945	6590	7257	5965	4234	4909	3373	5042	4203	4521	4298	5296
AGAP007454	19107	13697	15834	10129	10403	9316	4188	9747	5120	5244	6344	8478
AGAP007825	456	215	245	322	267	289	287	343	281	463	329	424
AGAP009716	263	124	126	92	349	430	358	444	94	209	174	219
AGAP012493	11872	5554	7339	6681	4348	5102	3167	3360	5330	5706	4941	6498
AGAP007208	33360	21269	19757	16672	20339	22599	15672	22684	11223	15750	13011	16327
AGAP001474	653	335	391	304	501	585	430	362	558	600	541	524
AGAP028408	835	536	519	522	1268	1005	620	852	829	1038	724	1036
AGAP028447	16	7	1	6	3	4	4	5	0	0	2	4
AGAP012029	517	217	316	241	77	119	132	137	172	195	173	169
AGAP005805	31	6	2	26	1	7	10	4	0	3	1	1
AGAP006649	610	346	570	393	489	483	542	514	374	613	568	528
AGAP006959	5823	3603	4263	2901	1921	1829	1708	1350	2790	2765	2300	3098
AGAP012910	741	507	450	370	524	615	515	497	264	363	350	414
AGAP008558	60	61	28	20	27	36	55	54	11	29	20	29
AGAP007081	146	96	86	56	122	206	317	202	84	86	77	94
AGAP000394	632	359	529	405	983	1265	1198	1064	1164	1324	971	1329
AGAP003984	955	531	715	602	577	655	586	678	778	794	722	791
AGAP002376	566	254	288	245	134	55	94	96	104	189	93	145
AGAP000360	329	218	180	144	700	1076	1135	893	342	596	416	507
AGAP007620	1895	1251	1501	1308	1475	1538	1295	1377	1165	1584	1470	1712
AGAP028087	234	140	180	127	488	562	477	424	274	484	431	379
AGAP000062	609	427	450	312	1675	2301	2460	2133	1270	1887	1392	2196
AGAP010562	2894	2311	1811	1480	1534	1597	1094	1417	668	808	539	820
AGAP027981	9	2	3	2	10	9	4	21	6	15	16	1
AGAP002581	1261	434	841	751	593	924	529	619	748	1001	688	1277
AGAP006724	2099	1462	1719	896	693	894	459	751	560	905	621	1006
AGAP000960	1490	966	1070	1022	1080	1107	1027	863	1062	1215	1293	1234
AGAP008933	45	32	20	7	22	44	24	39	25	39	10	28
AGAP029883	192	99	106	93	108	176	105	146	82	151	110	95
AGAP001153	20989	13532	13241	10894	12891	14515	8536	9764	19397	17287	16291	19042
AGAP005787	80	85	24	40	14	24	9	14	5	22	10	18
AGAP008997	28	9	11	9	0	10	8	14	0	1	1	6
AGAP009234	4630	2895	2730	2560	1378	2016	1015	1772	1604	1836	1942	1790
AGAP005793	40	16	8	28	328	265	460	210	342	338	174	175
AGAP028633	474	369	411	368	427	488	495	510	329	417	405	402
AGAP029387	1129	582	1250	575	254	237	256	158	303	258	278	336
AGAP008702	1010	754	714	593	1231	1369	1097	1133	891	1108	988	1107
AGAP008669	1938	1279	1346	1142	844	1080	693	780	882	1084	1013	1287
AGAP001010	2016	1358	1334	1204	1730	1985	1565	1849	1017	1507	1348	1446
AGAP003784	286	195	203	198	367	519	350	360	96	262	202	202
AGAP002211	51	21	8	5	10	2	7	16	2	4	0	0
AGAP007752	10881	3946	6242	6385	4337	3411	2635	2476	7350	7848	4733	6187
AGAP029333	195	51	86	62	65	83	44	154	39	70	111	35
AGAP004292	3777	2244	2382	2197	1080	1161	1127	1248	958	1325	1492	1429
AGAP002555	64	28	22	11	36	27	32	24	6	15	7	25
AGAP012514	2755	2099	1725	1164	1037	1294	800	1085	1254	1164	970	1421
AGAP004356	22	2	9	8	5	6	28	40	9	6	13	4
AGAP010480	11948	7863	7947	7435	12907	11609	9173	10797	9301	13452	11525	13899
AGAP006345	0	0	0	0	0	0	0	21	0	61	110	27
AGAP007677	178	132	83	57	31	71	50	68	31	59	92	55
AGAP006506	8381	5646	4758	4557	2376	2960	1288	2061	4013	3551	4326	3162
AGAP012700	218	90	102	95	15	102	31	55	39	52	48	26
AGAP009480	337	309	198	139	57	52	39	58	36	31	69	74
AGAP012462	52	309	27	19	27	37	23	72	16	9	17	13
AGAP002438	4645	3423	3018	2947	6049	6367	5105	5949	3183	4821	3848	4606
AGAP006883	923	674	594	495	1181	1311	913	1327	1348	1039	901	1647
AGAP011180	1181	742	1066	1051	1267	1681	1759	1108	946	1618	1385	1594
AGAP001308	412	410	325	217	801	899	802	741	308	440	258	514
AGAP007484	15	9	11	15	31	86	74	69	93	142	131	94
AGAP004938	3433	2016	2347	1860	1363	1632	1501	1251	1503	1937	1690	1898
AGAP007663	31504	23224	20031	14640	7969	7708	5216	7802	10438	8839	11780	13958
AGAP001068	10174	5785	5850	5075	3824	4215	2505	2770	4683	4729	4324	4664
AGAP012288	132	74	37	36	188	327	267	182	71	212	151	172
AGAP003042	822	469	550	510	244	401	233	327	432	423	440	454
AGAP006877	108	33	26	35	56	72	42	44	42	81	19	68
AGAP012168	383	198	312	223	347	441	491	490	369	307	328	420
AGAP002069	158	91	82	93	179	188	198	233	117	194	156	130
AGAP009405	5035	2965	3257	2610	1508	1706	1326	1693	1552	1769	1665	1908
AGAP004321	1889	1038	1151	1044	476	576	361	396	605	607	497	637
AGAP012461	20185	11215	12364	11273	10639	11815	7238	7343	11196	13298	11900	14070
AGAP011902	99	27	16	24	6	14	20	18	0	7	4	0
AGAP008180	3197	1926	2333	1834	2905	3467	3228	3044	2266	3053	2459	3597
AGAP006911	34194	21228	25600	21719	5545	7264	3882	5119	10750	7965	7994	10131
AGAP003760	369	173	202	173	348	453	514	490	338	326	505	472
AGAP001954	1372	692	727	731	1164	1522	1110	968	866	1430	1425	1547
AGAP003425	1139	863	745	680	719	847	708	661	799	1004	927	1164
AGAP002567	3230	2343	2516	2542	1979	2461	1765	2539	1439	1544	1529	1729
AGAP012780	61	31	31	19	99	89	61	79	128	145	110	105
AGAP007213	758	526	668	471	420	511	399	337	434	527	584	622
AGAP028138	8267	6514	7478	6519	5441	4987	5072	4532	4284	3835	4924	4182
AGAP004311	1384	975	921	841	1056	1325	964	1081	1184	1826	1016	1310
AGAP006710	19222	11010	17440	12538	12976	2474	1754	2358	3876	9132	4624	4332
AGAP029210	91	17	16	15	6	11	14	25	15	1	2	1
AGAP007094	221	99	89	102	121	161	120	172	110	147	198	162
AGAP005847	888	660	670	645	968	811	801	829	476	712	579	706
AGAP009085	21	14	14	15	10	17	11	15	2	4	2	4
AGAP006369	177	106	127	143	364	445	318	393	1578	1045	691	1052
AGAP010843	1149	719	898	721	1696	1977	1933	1795	1309	1487	1541	1691
AGAP002056	6096	4147	4068	2807	396	676	494	576	621	579	825	698
AGAP010964	573	532	462	527	584	577	522	670	315	462	541	365
AGAP003255	76	39	56	27	43	22	28	46	15	31	67	26
AGAP012634	33	17	6	7	5	8	14	6	0	0	4	6
AGAP029811	1140	563	842	752	821	1267	882	733	612	1407	1070	1287
AGAP009273	749	522	502	446	265	469	366	249	1855	249	202	474
AGAP003080	8930	4492	7342	6837	6926	10195	5673	5136	7236	13777	11191	15547
AGAP012005	1095	486	867	557	1328	1372	1237	994	1259	1376	957	1093
AGAP001683	2463	1562	1624	1355	2708	3618	3673	2780	1473	2285	1798	2221
AGAP013067	35	16	7	7	0	2	6	2	0	0	2	1
AGAP006133	7878	5200	5876	5794	11451	14571	12919	10823	7346	13178	11080	11882
AGAP006541	3723	2054	2503	1868	1398	1472	1194	1326	1505	1761	1851	1891
AGAP013048	678	358	297	310	201	239	209	217	119	209	148	219
AGAP005652	22115	14426	16357	14467	23639	24522	19072	20183	15604	22478	18229	22899
AGAP011390	356	266	310	250	278	371	495	477	109	265	170	193
AGAP002816	2603	1604	1607	1536	920	1004	862	706	1166	1066	1116	1487
AGAP029661	760	470	595	372	1234	1580	1376	1324	866	1364	856	1247
AGAP001766	556	307	326	205	487	438	409	459	316	420	339	338
AGAP006402	397	180	214	165	536	645	783	709	370	418	341	550
AGAP013118	317	150	151	116	91	96	104	165	58	157	129	150
AGAP007901	4064	3077	2655	2484	4766	5068	4086	4101	3670	4147	4172	4278
AGAP003381	14	20	15	8	26	21	13	14	11	18	8	8
AGAP008209	694	383	458	348	685	624	678	626	791	530	853	671
AGAP001440	6868	8612	4990	3880	2916	3362	2623	2540	4023	4650	3950	4419
AGAP006184	6584	6142	5092	5211	7865	8574	6719	7527	5769	7300	6693	5711
AGAP007008	144	56	41	39	199	420	446	314	45	90	80	102
AGAP000233	431	239	190	252	603	941	1024	777	259	463	373	456
AGAP006384	752	360	463	482	460	549	493	379	355	503	401	509
AGAP010071	4462	1896	2693	2459	726	925	589	546	777	1015	1271	1180
AGAP004543	8944	4203	4923	4159	3790	3565	2528	2734	3442	4645	3748	4760
AGAP000823	4151	2685	2909	2272	1566	1791	1318	1437	1224	1422	1631	1678
AGAP001097	394	237	135	139	337	498	200	354	172	313	289	317
AGAP006229	4216	2591	2732	2321	1076	1126	896	983	1740	1553	1395	1677
AGAP012538	10	14	2	5	26	46	2	51	10	3	43	91
AGAP000270	898	620	711	594	930	1238	1070	915	1160	1712	1334	1561
AGAP008331	649	243	354	315	597	603	749	549	562	628	568	538
AGAP011655	58	30	5	14	10	10	15	5	4	8	6	5
AGAP013257	1128	669	792	690	436	436	212	339	293	443	478	557
AGAP009498	4227	3512	3011	2434	4625	6309	5802	7812	6182	5819	5081	8909
AGAP009368	20	9	2	3	3	3	1	4	4	0	1	9
AGAP001190	926	744	687	557	81	96	129	78	365	325	439	282
AGAP010246	4993	2780	3147	2565	2113	1946	1381	1633	2399	2930	2411	2472
AGAP012090	5550	4201	3938	3533	10569	12741	12205	12160	6099	9600	8063	9333
AGAP012408	6333	2774	3856	3749	2379	2575	1892	1948	3489	3721	3224	4517
AGAP007494	1289	707	916	599	1241	1793	1662	1347	871	1114	841	1083
AGAP012719	91	47	73	69	55	46	57	39	59	91	111	56
AGAP009201	7690	5065	6785	4705	4265	5129	6622	6661	2774	4180	2833	3845
AGAP007735	605	339	351	258	395	427	340	356	280	325	304	422
AGAP002524	734	518	514	354	266	321	206	238	392	309	371	533
AGAP007939	247305	189458	172146	148209	97583	122160	86007	109951	74689	100641	106952	123189
AGAP028746	8	1	2	1	0	5	3	4	2	0	0	0
AGAP008858	705	482	511	460	992	1295	1085	1055	736	1000	827	1000
AGAP005574	1780	890	1065	895	1216	1173	923	947	1501	1491	1239	1425
AGAP013517	17	1	1	1	4	0	3	9	0	5	0	15
AGAP000864	447	234	259	255	206	273	363	206	237	293	252	340
AGAP000420	286	159	135	97	501	1092	1394	711	622	761	440	867
AGAP002939	786	514	608	461	393	447	429	411	439	695	504	614
AGAP003502	919	649	577	540	694	650	776	833	221	457	431	261
AGAP000829	1121	684	934	667	1911	2207	2305	2173	1450	2242	1610	1951
AGAP029758	12519	8157	8227	6753	8964	8270	5192	9158	4020	4991	4409	4784
AGAP001960	80	19	22	42	109	176	117	122	24	158	105	134
AGAP013443	310	153	170	141	214	293	226	261	128	242	203	303
AGAP028106	73	31	74	58	0	2	1	1	11	6	1	1
AGAP004468	2232	1105	1335	1159	976	1044	800	735	1328	1287	1140	1662
AGAP001435	1320	749	916	564	1517	1598	1334	1731	1125	1459	1229	1417
AGAP003674	50	19	10	11	44	39	26	34	10	30	16	14
AGAP005700	1861	1413	1448	1028	2651	2998	2949	2591	1729	2909	2394	3241
AGAP012583	0	0	0	0	3	4	5	5	3	2	1	1
AGAP000901	35996	29171	21996	18232	27904	32042	23884	34050	11338	17739	14749	21336
AGAP029694	296	115	110	26	2	318	697	236	3	16	3	264
AGAP003657	105	27	73	39	90	117	130	115	33	87	84	59
AGAP003805	155	88	74	84	115	93	87	99	116	167	167	211
AGAP008245	567	388	467	319	746	1044	910	835	424	699	392	597
AGAP009265	5466	3467	4212	3530	4907	5310	4168	4637	4472	5466	5024	4801
AGAP009305	2949	1863	1894	1688	924	1054	763	847	1200	1291	1493	1595
AGAP012749	359	329	339	193	100	81	20	51	31	53	51	15
AGAP012823	1317	979	823	705	678	830	567	703	550	587	475	644
AGAP005045	267	109	122	94	140	126	170	125	39	177	92	119
AGAP027982	1616	1288	1116	934	894	725	615	632	646	775	739	841
AGAP029044	1623	941	1059	893	660	602	465	445	777	900	880	695
AGAP001403	3384	1861	2330	2184	1148	1110	947	1072	1528	1793	1564	2343
AGAP028623	358	149	124	169	766	1179	997	955	502	715	489	736
AGAP004418	4006	2707	2723	2117	1358	1453	992	1014	1507	1551	1555	1738
AGAP003124	524	377	307	323	1112	1168	1164	1027	653	919	752	866
AGAP013216	21	4	10	6	13	31	33	22	0	10	3	5
AGAP029547	11769	7829	9567	8750	15230	15932	13643	16715	12318	12720	13565	17715
AGAP013170	64	19	29	12	143	189	162	133	80	114	110	114
AGAP011517	725	396	481	406	1095	1494	1228	1210	657	1114	883	1179
AGAP010711	2402	1215	1649	1520	1545	1828	1384	1302	1313	2055	1755	2069
AGAP000158	437	391	380	308	788	950	898	755	686	797	799	804
AGAP009400	523	475	427	289	200	259	356	279	108	164	160	208
AGAP010551	14021	9432	9662	9073	12305	15737	13354	11752	8462	12636	11712	12788
AGAP005533	2058	1059	1364	908	4203	5719	5896	4643	2909	5363	3448	5104
AGAP010385	1790	1513	1054	1025	166	206	130	189	386	269	257	326
AGAP006069	108	92	32	74	70	71	78	83	12	37	28	48
AGAP004084	99	44	27	44	66	46	29	80	66	36	47	27
AGAP004856	1294	669	861	799	639	750	529	442	798	832	864	1054
AGAP008143	262	168	164	140	579	540	675	478	158	272	298	84
AGAP013444	6	1	3	1	3	12	4	20	0	4	6	3
AGAP008516	1129	822	815	592	2047	1793	1873	1890	1148	1800	1592	1836
AGAP011871	2616	1634	1860	1708	3338	3647	2702	3128	2516	2747	2807	2691
AGAP010379	10291	5828	6169	5440	5098	5556	3864	3987	5380	5838	5787	6224
AGAP028209	41	35	30	25	69	122	128	120	52	55	48	71
AGAP002205	323	187	152	133	168	257	156	193	82	167	181	113
AGAP028054	63	44	17	13	12	37	4	4	0	2	0	12
AGAP002219	2062	1364	1593	1244	1282	1678	1452	1331	1297	1644	1463	1735
