	N1	N2	N3	N4	N_Unx1	N_Unx2	N_Unx3	N_Unx4	N_P1x1	N_P1x2	N_P1x3	N_P1x4
AGAP013717	87	53	78	21	160	151	108	164	108	156	174	162
AGAP028518	172	142	107	109	531	497	641	656	159	273	200	213
AGAP002354	1239	696	949	605	4082	4712	4578	4099	3059	3649	3443	4122
AGAP012811	78	38	52	37	82	148	227	132	209	214	121	216
AGAP005046	247479	130637	157058	135623	82988	80811	54743	77429	99370	103317	93116	111664
AGAP029417	189	93	107	91	98	122	51	70	148	106	96	157
AGAP005922	4200	2137	2629	2720	1447	1826	1462	1266	1967	2290	2224	2790
AGAP003652	9851	6162	5012	7220	6247	5952	4682	5995	5626	7085	6583	7647
AGAP028638	1538	827	1092	696	3895	5086	5247	4544	2304	3510	3044	3594
AGAP004004	15	1	1	7	3	0	6	19	0	3	1	6
AGAP005017	1925	940	1129	915	849	994	825	740	923	1254	1026	1093
AGAP012747	844	296	259	397	121	119	208	55	409	137	730	178
AGAP011833	20949	13466	15882	13219	13730	11789	8001	13232	9810	12959	11433	15987
AGAP008802	58722	38766	39346	31615	31606	41242	31385	37213	19910	26542	23569	30614
AGAP006988	337	192	186	150	367	553	470	399	253	387	314	433
AGAP005373	251	156	153	134	68	121	100	87	140	155	112	161
AGAP013520	63	22	15	10	35	78	51	32	24	26	33	19
AGAP006671	252	86	147	113	62	69	69	69	200	159	163	95
AGAP000250	1976	1255	1276	1124	747	919	699	678	911	1144	1123	1039
AGAP011372	9	0	0	5	0	3	4	1	0	0	0	0
AGAP005647	1268	711	795	818	1827	2145	1747	1703	1192	2052	1510	1964
AGAP010345	16101	9029	8989	8885	9328	10086	6965	6992	9884	10265	9878	10431
AGAP011923	5221	1991	2639	2317	781	625	697	740	612	703	690	877
AGAP009758	354	408	257	74	89	100	115	154	22	34	11	25
AGAP010935	3889	1987	2272	1809	1140	1426	1067	1203	2569	1901	1405	1987
AGAP002613	58	66	30	28	29	41	42	31	3	62	15	25
AGAP027993	91	36	14	26	17	14	17	52	2	19	15	8
AGAP005270	1283	718	747	738	692	777	506	545	716	977	837	1000
AGAP000434	593	347	503	324	1157	1436	1443	1143	1107	1576	1113	1654
AGAP006377	430	262	265	219	372	259	314	288	335	321	318	274
AGAP001613	6299	3686	4032	3556	2262	2646	2069	2005	2515	2869	2716	2656
AGAP009666	488	428	363	300	299	384	453	290	175	247	192	271
AGAP000074	75	18	9	17	11	11	10	21	10	13	1	2
AGAP007457	3346	2898	2847	1350	726	811	450	1022	603	439	572	940
AGAP002627	2741	1601	1925	1449	909	1080	830	833	1279	1296	1265	1360
AGAP006002	24	1	6	9	0	0	2	2	0	0	0	0
AGAP000848	323	165	187	166	938	1441	1447	1178	254	504	403	529
AGAP001969	5990	132848	4527	3242	5827	21472	15088	11121	451	1384	883	1133
AGAP004363	2857	1870	2104	2094	3149	3396	3110	3151	2316	3636	2961	3244
AGAP013166	3693	2063	3092	2998	295	353	209	305	378	359	575	345
AGAP000597	595	330	417	303	272	322	232	255	354	326	355	310
AGAP012518	2434	1501	1243	1150	1823	1796	1344	1401	1031	1518	1175	1441
AGAP010118	240	165	125	136	68	96	95	150	48	53	65	66
AGAP028155	21	2	6	8	13	5	12	12	2	2	0	0
AGAP000657	126	49	47	45	60	67	78	97	37	41	47	102
AGAP005429	2057	972	1356	1181	572	593	505	596	595	810	797	1040
AGAP012118	2382	1516	1703	1469	1420	1352	1000	1241	1114	1363	1326	1646
